"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.434648550E-1,-1.050000079E-3,-9.600000083E-2,9.897000313E0,9.897465953E0
5.459756240E-1,-3.705000132E-2,-9.105000645E-2,9.862950325E0,9.863440167E0
5.484888550E-1,1.005000062E-2,-8.100000024E-2,9.838950157E0,9.839288704E0
5.509968570E-1,2.895000204E-2,-7.905000448E-2,9.856050491E0,9.856410010E0
5.535073170E-1,-3.195000067E-2,-9.600000083E-2,9.871050835E0,9.871569348E0
5.560180860E-1,2.895000204E-2,-9.795000404E-2,9.837000847E0,9.837531091E0
5.585313170E-1,4.800000042E-2,-9.105000645E-2,9.825000763E0,9.825539888E0
5.610391020E-1,2.400000021E-2,-7.200000435E-2,9.838950157E0,9.839242867E0
5.635498690E-1,1.905000024E-2,-8.595000207E-2,9.856050491E0,9.856443658E0
5.660605620E-1,2.205000073E-2,-7.905000448E-2,9.856050491E0,9.856392159E0
5.685737920E-1,1.395000052E-2,-1.030500084E-1,9.835050583E0,9.835600331E0
5.710817900E-1,1.695000008E-2,-8.595000207E-2,9.813000679E0,9.813391719E0
5.735923270E-1,2.400000021E-2,-8.595000207E-2,9.844050407E0,9.844454877E0
5.761027880E-1,-1.305000018E-2,-1.170000061E-1,9.853950500E0,9.854653711E0
5.786162500E-1,7.050000131E-3,-1.150500029E-1,9.811050415E0,9.811727496E0
5.811240160E-1,3.600000218E-2,-7.905000448E-2,9.823050499E0,9.823434532E0
5.836347060E-1,4.095000029E-2,-8.400000632E-2,9.871050835E0,9.871493174E0
5.861452450E-1,2.595000155E-2,-9.105000645E-2,9.862950325E0,9.863404717E0
5.886587830E-1,3.105000220E-2,-1.080000028E-1,9.832050323E0,9.832692493E0
5.911664680E-1,3.105000220E-2,-6.195000187E-2,9.897000313E0,9.897242904E0
5.936771580E-1,3.105000220E-2,-9.795000404E-2,9.921000481E0,9.921532585E0
5.961879270E-1,5.505000427E-2,-8.400000632E-2,9.868050575E0,9.868561631E0
5.987011580E-1,2.205000073E-2,-5.295000225E-2,9.805950165E0,9.806117914E0
6.012091510E-1,1.905000024E-2,-9.300000221E-2,9.861000061E0,9.861456997E0
6.037196880E-1,1.905000024E-2,-9.600000083E-2,9.825000763E0,9.825488227E0
6.062303800E-1,-1.050000079E-3,-4.305000231E-2,9.801000595E0,9.801095197E0
6.087436110E-1,1.200000010E-2,-6.195000187E-2,9.817950249E0,9.818153028E0
6.112516130E-1,4.950000439E-3,-8.400000632E-2,9.835050583E0,9.835410539E0
6.137620720E-1,-1.050000079E-3,-6.495000422E-2,9.844050407E0,9.844264728E0
6.162726110E-1,1.395000052E-2,-1.030500084E-1,9.808050156E0,9.808601417E0
6.187860720E-1,-4.050000105E-3,-8.100000024E-2,9.793950081E0,9.794285864E0
6.212938430E-1,-1.050000079E-3,-4.800000042E-2,9.817950249E0,9.818067640E0
6.238045150E-1,-6.000000052E-3,-6.195000187E-2,9.832050323E0,9.832247320E0
6.263152840E-1,-1.305000018E-2,-8.895000070E-2,9.877950668E0,9.878359773E0
6.288285150E-1,3.405000269E-2,-7.695000619E-2,9.853950500E0,9.854309777E0
6.313365170E-1,3.795000166E-2,-5.505000427E-2,9.837000847E0,9.837228083E0
6.338469810E-1,1.200000010E-2,-8.100000024E-2,9.886950493E0,9.887289570E0
6.363577510E-1,2.205000073E-2,-7.695000619E-2,9.886950493E0,9.887274526E0
6.388709810E-1,3.105000220E-2,-8.895000070E-2,9.849000931E0,9.849451535E0
6.413787530E-1,2.400000021E-2,-2.595000155E-2,9.841950417E0,9.842013890E0
6.438894430E-1,3.000000026E-3,-5.505000427E-2,9.883050919E0,9.883204691E0
6.463999810E-1,-6.000000052E-3,-6.195000187E-2,9.849000931E0,9.849197589E0
6.489134430E-1,1.200000010E-2,-9.600000083E-2,9.853950500E0,9.854425425E0
6.514212140E-1,1.005000062E-2,-6.195000187E-2,9.874950409E0,9.875149841E0
6.539318940E-1,3.000000026E-3,-6.705000252E-2,9.885000229E0,9.885228082E0
6.564424330E-1,1.005000062E-2,-6.195000187E-2,9.847050667E0,9.847250664E0
6.589558940E-1,1.005000062E-2,-4.995000362E-2,9.816000938E0,9.816133171E0
6.614638960E-1,1.905000024E-2,-8.595000207E-2,9.832050323E0,9.832444450E0
6.639744330E-1,1.905000024E-2,-8.400000632E-2,9.859050751E0,9.859426992E0
6.664851250E-1,4.950000439E-3,-8.895000070E-2,9.868050575E0,9.868452703E0
6.689984330E-1,-6.000000052E-3,-8.895000070E-2,9.853950500E0,9.854353787E0
6.715061270E-1,-6.000000052E-3,-8.595000207E-2,9.835050583E0,9.835427971E0
6.740168180E-1,2.595000155E-2,-1.009500027E-1,9.835050583E0,9.835602893E0
6.765273560E-1,2.400000021E-2,-1.099500060E-1,9.837000847E0,9.837644569E0
6.790408180E-1,1.395000052E-2,-8.895000070E-2,9.847050667E0,9.847462289E0
6.815485890E-1,4.995000362E-2,-8.895000070E-2,9.859050751E0,9.859578531E0
6.840592790E-1,-6.000000052E-3,-8.100000024E-2,9.874950409E0,9.875284430E0
6.865698230E-1,1.695000008E-2,-9.795000404E-2,9.832050323E0,9.832552826E0
6.890832840E-1,2.400000021E-2,-8.895000070E-2,9.835050583E0,9.835482096E0
6.915912860E-1,2.205000073E-2,-7.905000448E-2,9.850950241E0,9.851292086E0
6.941017460E-1,4.800000042E-2,-6.000000238E-2,9.862950325E0,9.863249622E0
6.966122740E-1,6.000000238E-2,-9.105000645E-2,9.837000847E0,9.837605184E0
6.991257360E-1,1.200000010E-2,-1.030500084E-1,9.804000854E0,9.804549763E0
7.016337380E-1,4.950000439E-3,-8.895000070E-2,9.823050499E0,9.823454469E0
7.041441970E-1,2.595000155E-2,-8.400000632E-2,9.837000847E0,9.837393713E0
7.066547360E-1,7.050000131E-3,-8.400000632E-2,9.865950584E0,9.866310690E0
7.091681970E-1,7.050000131E-3,-6.000000238E-2,9.808050156E0,9.808236210E0
7.116759680E-1,2.595000155E-2,-5.505000427E-2,9.777000427E0,9.777189845E0
7.141866590E-1,-6.000000052E-3,-6.705000252E-2,9.847050667E0,9.847280769E0
7.166971970E-1,1.695000008E-2,-7.200000435E-2,9.844050407E0,9.844328302E0
7.192106590E-1,2.400000021E-2,-7.395000011E-2,9.823050499E0,9.823358169E0
7.217186610E-1,-1.305000018E-2,-6.195000187E-2,9.850950241E0,9.851153676E0
7.242291970E-1,-1.095000096E-2,-6.705000252E-2,9.874950409E0,9.875184109E0
7.267396590E-1,1.395000052E-2,-7.695000619E-2,9.838950157E0,9.839260953E0
7.292531060E-1,2.595000155E-2,-8.100000024E-2,9.835050583E0,9.835418363E0
7.317608780E-1,1.200000010E-2,-6.495000422E-2,9.853950500E0,9.854171856E0
7.342715680E-1,7.050000131E-3,-7.905000448E-2,9.895050049E0,9.895368314E0
7.367821060E-1,1.200000010E-2,-8.400000632E-2,9.850950241E0,9.851315681E0
7.392955820E-1,1.200000010E-2,-6.000000238E-2,9.813000679E0,9.813191445E0
